title,gnis_name,state
Gunpowder Paper Mill Dam (Hoffman Paper Mill Dam),Gunpowder Falls,MD
Two Mile Dam,Santa Fe River,NM
Morgan Dam,High Bank Creek,MI
Murphy Creek Dam,Murphy Creek,CA
Unexpected Road Dam,,NJ
Wright Dam,Mill Creek,OR
Freight Street Dam,Naugatuck River,CT
Spring Dam,Pennypack Creek,PA
Condit Dam,White Salmon River,WA
Unnamed ford (Road 5440),Independence Creek,ID
Norwich Reservoir Dam,Charles Brown Brook,VT
Air Force Dam,Silver Lead Creek,MI
Walkers Dam,,TN
Elk Creek Dam,Elk Creek,OR
Big Rapids Dam,Muskegon River,MI
Golf Course Dam,,IL
Fort Halifax Dam,Sebasticook River,ME
Vaux #1 Dam,Lone Tree Creek,MT
Ash Bear Pen Dam,,NC
Crystal Springs Dam,,PA
Panhandle Road Dam,Olentangy River,OH
Old Furnace Dam,Blacklog Creek,PA
Beiler Dam,,PA
Collegeville Dam,,PA
McCoy-Linn Dam,Spring Creek,PA
Gruendyke Mill Dam,Musconetcong River,NJ
Sumner Dam,Gulph Creek,PA
Stimson Dam (AKA Bonner Dam),Blackfoot River,MT
Heads Pond Dam,Browns Brook,NH
Buster Lake Dam,Garden Creek,ID
Dennison Dam,Olentangy River,OH
Muren's (Seitzville Mill) Dam,South Branch Codorus Creek,PA
Woodside Dam 2,Twelvemile Creek,SC
Bonde Weir,San Francisquito Creek,CA
Bailey Dam,,PA
Williamsburg Station Dam,Frankstown Branch Juniata River,PA
Sixmile Creek Pond Dam,Sixmile Creek,MI
Altapass Dam,Roses Creek,NC
Williamsport Dam,,OH
Union City Dam,Naugatuck River,CT
Young America Dam,Milwaukee River,WI
Leeson Park Dam,Spring Brook,WI
Norristown Farm Park Dam,Stony Creek,PA
Kehly Run Dam No. 4,Kehly Run,PA
Hersey Dam,Hersey River,MI
Big Run Park Dam,Big Run,PA
Jackson Pond Dam,,RI
Unnamed Dam (Secor Road Dam),Ottawa River,
Modoc Reservoir Dam,,OH
Rains Mill Dam,Little River,NC
Fieldsville Dam,Raritan River,NJ
Bruemmerville Dam,Silver Creek,WI
Black Mud Waste Pond A Dam,,WA
Jacoby Road Dam,Little Miami River,OH
Unnamed Blockage #2 (Diffusion Dam 3),,WA
McGoldrick Dam,Ashuelot River,NH
Lowe Creek 1 Dam,Lowe Creek,WI
South Batavia Dam,Fox River,IL
Rock Hill Dam,Conestoga River,PA
HJFD6,,CA
Unnamed (Right mill race) Dam,,PA
Shearer Dam,Calapooia River,OR
Marion Kihn Dam,,WI
Badger Pond Dam,Tioga River,NH
Kendrick Pond Dam,Sugar Hollow Brook,VT
Derby Petroleum Lake Dam,,OH
Harvell Dam,Appomattox River,VA
Wellingsly Dam #2,,MA
Shopiere Dam,Turtle Creek,WI
Curry Pond Dam,,NY
Upper Crown Mill Dam,Ninemile Creek,NY
Collapsible Butler Dam,Connoquenessing Creek,PA
Cuddebackville Dam,Neversink River,NY
Diehl Dam,,NE
Mounds Dam,Willow River,WI
Giles White (Ontario Dam),,WI
South Fork Necanicum Diversion Dam,,OR
Siebert Dam,Miller Run,PA
Siloam Dam,Conococheague Creek,PA
Route 22 Dam,Jordan Creek,PA
Williams Dam,,OH
Camp Inawendiwin Lower Dam,Friendship Creek,NJ
Frankel Dams,Aspetuck River,CT
Meisers Mill Dam,Gebhard Run,PA
Unnamed ford,,AR
Shasta River Water Association Diversion Dam,Nelson Creek,CA
Claysville School Street No. 1 Dam,,PA
Kunkel Dam,Soldier Creek,ID
Hemlock Dam,Trout Creek,WA
Castle Finn Dam,Muddy Creek,PA
Marengo Dam,Marengo River,WI
McMillan Dam,Pecos River,NM
Lake Deforest Dam,,TN
Hamby Dam,West Birch Creek,OR
Pattengail Dam,Pettengill Creek,MT
Chesaning Dam,Shiawassee River,MI
Chase Brass Dam,Naugatuck River,CT
Wellington Dam,,
Cupola Dam,East Branch Brandywine Creek,PA
Huigen Dam,Handsaw Creek,WI
Old Shadow Lake Dam,Turkey Creek,AL
Cascade Diversion Dam,Merced River,CA
Snavely's Mill Dam,Chiques Creek,PA
Moosup Dam #1,Moosup River,CT
Wasena Park Dam,Roanoke River,VA
Octoraro Dam,,MD
Brownsville Dam,Calapooia River,OR
Unnamed Dam,Eshleman Run,PA
Shoreys Brook Dam,Shoreys Brook,ME
Mud Creek Dam,Mud Creek,MI
DuPont Dam,South River,VA
Brownville Dam,,ME
Two Mile Run Dam,Twomile Run,PA
Ashton Dam #2,Hunting Run,
Sennebec Dam,Saint George River,ME
Maple Gulch Dam,,OR
Salt Creek Dam,Salt Creek,CA
Homestead Woolen Mills Dam,Ashuelot River,NH
Cedar Creek Weir,Cedar Creek,NJ
Eel River Headwaters Restoration 3,,MA
Savage Rapids Dam,Rogue River,OR
Clear Shade Creek Reservoir Dam,Clear Shade Creek,PA
Raven Rock Dam,,MD
Marmot Dam,Sandy River,OR
Buckhorn Dam,,NC
Haypress Pond Dam,,CA
Slabtown Dam,Bark River,WI
Cumberland Marsh Dam,,VA
Ellsworth No. 2 Dam,Pigeon Creek,PA
Manatawny Creek Dam,Manatawny Creek,PA
Anne Jackson Girl Scout Dam,,NH
Leonards Dam,Forked Creek,IL
Old City Reservoir Dam,,SC
Fowler Finch Dam,,NY
Spanglers Mill Dam,Yellow Breeches Creek,PA
Tucker Road Ford,,CA
Spitzer Dam,Millhome Creek,WI
Niles Dam,Alameda Creek,CA
Crivitz Dam,Peshtigo River,WI
Smethport Reservoir Dam,Blacksmith Run,PA
Phillipston Reservoir Dam #2,Mill Brook,MA
Calco Diffusion Weir Dam,Raritan River,NJ
Manchester Dam,Maquoketa River,IA
Pumping Station Dam,Dunkard Creek,PA
Elwha Dam,Elwha River,WA
Mixel Dam,Doubling Gap Creek,PA
Trout Hatchery Dam,Little Lehigh Creek,PA
Bear Run Lower Dam,Bear Run,PA
Birch Run Dam,Conococheague Creek,PA
Wonder Lake Dam,,OH
Olsens Lake Dam,,IL
Occidental Chem Dam #6,,TN
Fairbanks Avenue Dam,Des Plaines River,IL
Veteran's Memorial Park Dam,Pigg River,VA
Waszkiewicz Dam,Grey Creek,MI
Laurel Run Reservoir Dam,Laurel Run,PA
Stevens Brook Dam,Stevens Brook,NH
Old Skinner Dam,,PA
Goldfield Dam,Boone River,IA
City of Kake Dam,,AK
Hopewell Mills Dam,Mill River,MA
Ward Paper Mill Dam,Prairie River,WI
Bunker Pond Dam,,NH
No dam (fish farm weir removed),,
Kohut Pond Dam,Hess Run,PA
Goodrich Dam,Perkiomen Creek,PA
Mt Joy (SICO) Dam,Little Chiques Creek,PA
Unnamed Dam,Beaver Creek,PA
Manton Millpond Dam,Manton Creek,MI
Wapping Road Dam,,MA
Kinne Brook Dam,Kinne Brook,MA
Hebron Dam,Bark River,WI
Boydstown Dam,Connoquenessing Creek,PA
Baltic Mills Dam,Shetucket River,CT
Ralph Stover Dam,Tohickon Creek,PA
Maxwell Pond Dam,Black Brook,NH
Waterman Dam,Pescadero Creek,CA
Poston Fresh Water Pond Dam,,OH
Crocker Creek Dam,Crocker Creek,CA
Monsanto Dam #3,,TN
Judson College Dam,Tyler Creek,IL
Knightly Dam,Middle River,VA
Sandstone Dam,Kettle River,MN
McPherrin Dam,Butte Creek,CA
Hoffmann Dam,Des Plaines River,IL
Georgetoen Freshwater Dam,,OH
Pool Colony Dam,,NJ
Charlotte City Dam,Battle Creek,MI
Bennet Dam,Lodgepole Creek,NE
Little River Dam,Little River,ME
Northland Dam,Flume Creek,WI
Right Branch Dam,Right Branch Wetmore Run,PA
Unnamed Remnant Dam,Salmon Brook,ME
Wolcott Dam,North Branch Clinton River,MI
Kent Park Dam,Darby Creek,PA
High Plains Estates,,
Upper Flume Dam,,MA
Swim Dam #2,Alameda Creek,CA
5th Avenue Dam,Olentangy River,OH
Bearcamp River Dam,Bearcamp River,NH
Coal Creek Dam #2,Coal Creek,PA
Unknown,Olds Creek,CA
Mission Dam,Antelope Creek,SD
Gravesleigh Pond Dam,,MA
Old Saluda Reservoir Dam,,SC
Minnesota Falls Dam,Minnesota River,MN
Baldwin Creek Dam 1,Baldwin Creek,OH
Johnson State Dam,,VT
Linen Mill Dam,Baraboo River,WI
East Mill Creek Barrier Removal,Mill Creek,CA
Unnamed Upper Dam,West Branch Chester Creek,PA
Millpond Dam,Osceola Creek,WI
Fulton,Yahara River,WI
Flandrau Dam,Cottonwood River,MN
Halemano 6 Reservoir,,HI
Pizzini Dam,Eightmile River,CT
Bear Rock Run Dam 2,Bear Rock Run,PA
Washburn Run Dam,Washburn Run,PA
Fredricksburg & Spotsylvania Dam #6 (Ashley Farm Pond),Ninemile Run,VA
North Avenue Dam,Milwaukee River,WI
Sandwich Game Farm Dam,,MA
Bayou Dupont #13 Dam,,LA
Sherwood Hollow Dam,,PA
Henry Eby Dam,,PA
Black Dam,Conodoguinet Creek,PA
Unnamed Dam,West Branch Chester Creek,PA
Rockdale Dam,Koshkonong Creek,WI
Pawtuxet Falls Dam,Pawtuxet River,RI
Fink Dam,,OH
Gongneung Weir2,,
White Gulch Dam #1 (Whites Gulch Lower Dam),,CA
TCFD10,,CA
Carters Dam,,PA
Spread Creek Dam,,WY
Fredricksburg & Spotsylvania Dam #2 (Clark Farm Pond #3),Strawberry Branch,VA
Chandlers Dynamo Dam,Little River,NC
Pottersville Dam,,NJ
White River Mill Pond Dam,Boise Creek,WA
Grist Mill Dam,Souadabscook Stream,ME
Eel River Headwaters Restoration 2,,MA
Stone's Dam,Hakihokake Creek,NJ
Kladder Dam,,PA
Stroud Preserve Dam,,PA
Unnamed Dam #3 (Lithia Park Dam 3),Ashland Creek,OR
Rooney Bros Dam,Cosumnes River,CA
Randall Mill Dam,Chandler Brook,ME
Middleville Dam,,NJ
Champlin Pond Dam #2,Clark Brook,NH
New Jersey No Name # 125 Dam,Watering Race Branch,NJ
Amish Dam #8,Muddy Creek,PA
Dexter Dam,Mill Creek,MI
Nelson Park Dam,Alum Creek,OH
Mohnton Water Supply Dam,Wyomissing Creek,PA
Lake St. Francis Dam,Crow Creek,AR
Kaoshan Stream Dam 3,,
Sykes Dam,Harrison Creek,VA
Snare Run Reservoir Dam,Snare Run,PA
Catching Dam,North Fork Middle Fork Willamette River,OR
Rexmont Dam #1,Hammer Creek,PA
Kamrath Dam,Elk Creek,WI
Wallace Creek Dam,Wallace Creek,MT
Cartwright Dam,Shell Creek,WI
Cove Valley Christian Camp Dam,Little Cove Creek,PA
Plainwell Dam #1,Kalamazoo River,MI
Big Brown Dam,Browns Run,PA
Sylvan Lake Dam,,NJ
Dyerville Dam,,RI
Sweasey Dam,Mad River,CA
White Rapids Brook,,New Brunswick
Veazie Dam,Penobscot River,ME
Lafayette Locks Dam,Yamhill River,OR
Jordan Park Dam,Jordan Creek,PA
Detter's Mill Dam,Conewago Creek,PA
Poclain Dam,,
Unnamed Dam #2,Pequea Creek,PA
Franklin Mill Dam,Middle Creek,PA
Shear Dam,,OR
Copemish Dam,First Creek,MI
Eel River Headwaters Restoration 6,,MA
Fredricksburgh Milstead B Dam,Massaponax Creek,VA
Black Creek Intake Dam,Black Creek,PA
Cabin Hill Dam,Spring Creek,PA
Lower Flume Dam,,MA
Railroad Reservoir Dam,,TX
Mirror Lake Dam,Wyomissing Creek,PA
Sharpless Dam,Ridley Creek,PA
Lower Murphy Dam,,CA
Bowen Mill Dam,Pine River,WI
Gold Ray Dam,Rogue River,OR
Lake Hill #2 Dam,,OH
Unnamed Dam (JOHN BALL RESERVOIR),,MT
Spence Farm Pond Dam #5,,TN
Mellen Dam,Bad River,WI
South Fork Klaskanine Dam,South Fork Klaskanine River,OR
Hopkinton Dam,Maquoketa River,IA
Spruce Pine Dam,North Toe River,NC
Intake Dam,Rife Run,PA
Glenside Dam,,NJ
Barr Slope Reservoir Dam,Dixon Run,PA
Stony Point Dam,Furnace Run,PA
Whittenton Dam,Mill River,MA
Swim Dam #1,Alameda Creek,CA
Lower Pond Dam,Roaring Brook,CT
Boone Waterworks Dam,Des Moines River,IA
Wellingsly Dam #3,,MA
Wilmot Dam,Fox River,WI
Unnamed Dam,Splinter Creek,WI
Mt. Vernon,Mount Vernon Creek,WI
Ballou Dam,Yokum Brook,MA
Pancheri Diversion Dam,,ID
Mill Pond Dam,Chippewa River,MI
DeSantos Dam/Arnold,Brewster Creek,IL
Springfield Dam,,IL
Valsetz Dam,South Fork Siletz River,OR
Shades Branch Steel Ford,Shades Creek,AL
Mill Port Conservancy Dam,,PA
War Dam,Morrison Run,PA
Fredricksburgh & Spotsylvania Dam #3,,VA
Zebedee Wetland Dam,Zebedee Brook,VT
Kent Dam,Cuyahoga River,OH
Consol Pond Dam,Stillwater Creek,OH
Penns Creek 1,Penns Creek,PA
Hunters Dam,Hunter Creek,WA
Sisters Dam Removal,,OR
Dufresne Dam,Batten Kill,VT
Piraneo Lake Dam,,NJ
Lane Dam,,ID
North Avenue Dam,Fox River,IL
Anaconda Dam,Naugatuck River,CT
Jenkins Road McQuade Brook Dam,McQuade Brook,NH
Rogers Dam,,CA
Millsap Reservoir Dam,Grassy Branch,TX
Okie Rice Dam,Little Darby Creek,OH
East Branch Dam,,OH
Dayton Dam,Sixmile Run,PA
William Miaski Dam,,NY
